State,Branch,Type,Election_Date,Party,Candidate,Win,Votes,Incumbent,Handle,Bio,Following,Followers,Bio_Length,bio_polarity,bio_subjectivity,bio_profanity
South Carolina,Senate,General,2022-11-08,D,Krystle Matthews,0,455066,0,NO_HANDLE,None,0,0,0,,,
South Carolina,Senate,General,2022-11-08,R,Tim Scott,1,742616,1,SenatorTimScott,South Carolinian living mama American Dream,3772,695231,9,0,0,0.113228277
South Carolina,Senate,Primary,2022-06-14,D,Angela Geter,0,55281,0,angelaforsc,Air Force Veteran Professional Lifelong South Carolinian Daughter Auntie FrontlineLeadership,2403,3304,10,0,0.233333333,0.034794113
South Carolina,Senate,Primary,2022-06-14,D,Catherine Fleming Bruce,1,59777,0,tnovsa,2022 Primary Runoff candidate US Senate SC 4 US House Senate Dem Majorities 2022 Foreperson SC longest State Grand Jury public corruption trial,5928,8805,23,0.3,0.522222222,0.024139546
South Carolina,Senate,Primary,2022-06-14,D,Krystle Matthews,1,57278,0,NO_HANDLE,None,0,0,0,,,
South Dakota,Senate,General,2022-11-08,D,Brian Bengs,0,44405,0,BrianBengs,Husband Father US Navy vet US Air Force retiree Attorney Former Professor Angry American Who Wants Functional Gov Our Constitution Promises,1332,41963,22,-0.075,0.275,0.030569918
South Dakota,Senate,General,2022-11-08,R,John Thune,1,125483,1,SenJohnThune,Republican Whip Representing South Dakota Father Grandfather Husband Sports Fan Avid Outdoorsman Hates Shoveling,342,135433,14,0.25,1,0.093771076
South Dakota,Senate,Primary,2022-06-07,R,Bruce Whalen,0,15476,0,NO_HANDLE,None,0,0,0,,,
South Dakota,Senate,Primary,2022-06-07,R,John Thune,1,57225,1,SenJohnThune,Republican Whip Representing South Dakota Father Grandfather Husband Sports Fan Avid Outdoorsman Hates Shoveling,342,135433,14,0.25,1,0.093771076
South Dakota,Senate,Primary,2022-06-07,R,Mark Mowry,0,5688,0,NO_HANDLE,None,0,0,0,,,
Utah,Senate,General,2022-11-08,R,Mike Lee,1,363620,1,SenMikeLee,I United States Senator great state Utah Please help restore constitutional leadership Washington,2123,667915,20,0.8,0.75,0.05604702
Utah,Senate,Primary,2022-06-28,R,Ally Isom,0,27263,0,allyforutah,campaign account Senate Candidate Ally Isom It time new dawn Republican Party Join us AllyForUtah,223,843,21,0.136363636,0.454545455,0.039142911
Utah,Senate,Primary,2022-06-28,R,Becky Edwards,0,98802,0,beckyforutah,Utahn Unabashed cheerleader empowering political civic engagement Former Senate candidate Utah House Rep,897,6819,16,0,0.05,0.060594104
Utah,Senate,Primary,2022-06-28,R,Mike Lee,1,206234,1,SenMikeLee,I United States Senator great state Utah Please help restore constitutional leadership Washington,2123,667915,20,0.8,0.75,0.05604702
Vermont,Senate,General,2022-11-08,R,Gerald Malloy,0,80121,0,SUSPENDED,None,0,0,0,,,
Vermont,Senate,General,2022-11-08,D,Peter Welch,1,195295,0,PeterWelch,Twitter Account Congressman Peter Welch proudly representing great state Vermont House Representatives,2025,37244,18,0.8,0.875,0.013706085
Vermont,Senate,Primary,2022-08-09,R,Christina Nolan,0,10770,0,nolanforsenate,Attorney Vermont current Republican candidate Senate We need bring fresh perspective Washington TeamNolan vtpoli,88,782,21,0.15,0.45,0.013736069
Vermont,Senate,Primary,2022-08-09,R,Gerald Malloy,1,12069,0,SUSPENDED,None,0,0,0,,,
Vermont,Senate,Primary,2022-08-09,D,Isaac Evans-Frantz,0,3367,0,iefrantz,stop wars help neighbors Work theActionCorps Views Follow Vermont political work IsaacForVT,203,595,18,0,0.1,0.01809817
Vermont,Senate,Primary,2022-08-09,R,Myers Mermel,0,5177,0,MyersMermel,Let build Vermont Economy give freedom failed Liberal Policies,617,259,12,-0.5,0.3,0.058793445
